rid,road_level,ori,des,lnglat_seq,parents,children
0VB4S07KEV00VB4S07KET00,47000,0VB4S07KEV0,,"102.722803,25.033528;102.722849,25.033348",[],"['0VB4S07KET00VB4S07KEV00', '0VB3V07KF000VB4S07KEV00', '0VB4607KF000VB4S07KEV00']"
0VB2K07KHN00VB2K07KHU00,44000,0VB2K07KHN0,,"102.715673,25.04238;102.715664,25.042456;102.715635,25.042707;102.7156,25.043005",[],"['0VB2U07KHO00VB2K07KHN00', '0VB3407KHP00VB2K07KHN00', '0VB1P07KHL00VB2K07KHN00', '0VB2N07KH200VB2K07KHN00', '0VB2G07KIL00VB2K07KHN00']"
0VB2A07KK200VB2D07KJE00,44000,0VB2A07KK20,0VB2D07KJE0,"102.714635,25.049763;102.714629,25.049649;102.714633,25.049585;102.71464,25.049519;102.714693,25.04916;102.714775,25.048599;102.714826,25.048215;102.714864,25.047932","['0VB2D07KJE00VB2D07KJ900', '0VB2D07KJE00VB2C07KJM10', '0VB2D07KJE00VB2A07KJE00']","['0VB2C07KJM10VB2A07KK200', '0VB2D07KKN00VB2A07KK200', '0VB3P07KJU00VB2A07KK200', '0VB2J07KK300VB2A07KK200', '0VB1M07KK400VB2A07KK200']"
0VB6J07KGE00VB7407KGF00,45000,,0VB7407KGF0,"102.728399,25.038227;102.728533,25.038111;102.728777,25.038088;102.729364,25.038084;102.729464,25.038089;102.729708,25.038088;102.730062,25.038254","['0VB7407KGF00VB7407KGD00', '0VB7407KGF00VB6D07KGF00', '0VB7407KGF00VB7207KGG00', '0VB7407KGF00VB8207KGF00']",[]
0VB2J07KK300VB2A07KK200,45000,,0VB2A07KK20,"102.715518,25.049909;102.714742,25.049952","['0VB2A07KK200VB3P07KJU00', '0VB2A07KK200VB0P07KK700', '0VB2A07KK200VB2D07KJE00', '0VB2A07KK200VB2J07KK300', '0VB2A07KK200VB2C07KKD00']",[]
0VB4N07KHR00VB4L07KHR00,44000,0VB4N07KHR0,,"102.72237,25.042718;102.722068,25.042681",[],['0VB5N07KHV00VB4N07KHR00']
0VB2G07KIT00VB2D07KJE00,44000,,0VB2D07KJE0,"102.71517,25.046126;102.715121,25.046411;102.715109,25.046489;102.715005,25.047121;102.714982,25.047264;102.714901,25.047933","['0VB2D07KJE00VB2D07KJ900', '0VB2D07KJE00VB2C07KJM10', '0VB2D07KJE00VB2A07KJE00']",[]
0VB4507KD800VB4607KD800,47000,0VB4507KD80,,"102.720522,25.028064;102.720738,25.028098",[],"['0VB4607KD800VB4507KD800', '0VB3V07KF000VB4507KD800', '0VB4507KD600VB4507KD800']"
0VBAB07KI700VBAD07KIJ00,45000,0VBAB07KI70,,"102.740489,25.043924;102.740497,25.044317;102.740511,25.044656;102.740501,25.045015;102.740498,25.04512",[],"['0VBAD07KIJ00VBAB07KI700', '0VB9S07KI600VBAB07KI700', '0VBAD07KIN00VBAB07KI700', '0VBAB07KI400VBAB07KI700', '0VBB307KHV00VBAB07KI700']"
0VB4N07KHR00VB4K07KHR00,44000,0VB4N07KHR0,,"102.72237,25.042718;102.722044,25.042673",[],['0VB5N07KHV00VB4N07KHR00']
0VB0Q07KHI00VB1A07KHK00,44000,,0VB1A07KHK0,"102.709855,25.041882;102.710638,25.04193;102.711361,25.041994","['0VB1A07KHK00VB1P07KHL00', '0VB1A07KHK00VB1B07KHH00', '0VB1A07KHK00VB1A07KH800']",[]
0VB4607KF000VB3V07KF000,44000,,0VB3V07KF00,"102.720671,25.033616;102.719967,25.033604","['0VB3V07KF000VB4607KF000', '0VB3V07KF000VB3V07KFJ00', '0VB3V07KF000VB4S07KEV00', '0VB3V07KF000VB3107KEU00', '0VB3V07KF000VB4507KD800']",[]
0VB3P07KKM00VB3R07KLC00,44000,0VB3P07KKM0,,"102.719478,25.051758;102.719486,25.052329;102.71949,25.052506;102.71949,25.052552;102.719495,25.053264;102.7195,25.053548;102.719515,25.053886;102.71952,25.053915;102.719553,25.054034;102.719562,25.054058",[],"['0VB3P07KKU00VB3P07KKM00', '0VB3P07KJU00VB3P07KKM00', '0VB3T07KKM00VB3P07KKM00']"
0VB3T07KGD00VB4J07KGD00,44000,0VB3T07KGD0,,"102.719811,25.038066;102.720271,25.038076;102.720467,25.038081;102.721925,25.03811",[],"['0VB3K07KGD00VB3T07KGD00', '0VB3N07KGD00VB3T07KGD00', '0VB3R07KHP00VB3T07KGD00', '0VB4J07KGE00VB3T07KGD00', '0VB3V07KFJ00VB3T07KGD00']"
0VB6H07KI600VB6H07KI100,45000,,0VB6H07KI10,"102.728123,25.043804;102.72813,25.043449","['0VB6H07KI100VB6D07KI110', '0VB6H07KI100VB6E07KI100', '0VB6H07KI100VB6H07KI600', '0VB6H07KI100VB7807KI400']",[]
0VB4R07KHQ00VB4T07KHR00,44000,0VB4R07KHQ0,,"102.722698,25.042637;102.722926,25.042665",[],"['0VB5307KH200VB4R07KHQ00', '0VB3R07KHP00VB4R07KHQ00']"
0VB4V07KGD00VB5N07KGE00,44000,0VB4V07KGD0,0VB5N07KGE0,"102.723096,25.038144;102.72331,25.038146;102.723516,25.038149;102.723917,25.038152;102.724252,25.038155;102.724802,25.038159;102.724995,25.038159;102.725491,25.038161","['0VB5N07KGE00VB5N07KHV00', '0VB5N07KGE00VB5307KGE00', '0VB5N07KGE00VB5N07KFT00', '0VB5N07KGE00VB6507KGE00']","['0VB4J07KGD00VB4V07KGD00', '0VB3T07KGD00VB4V07KGD00', '0VB4V07KFS00VB4V07KGD00']"
0VB6107KI000VB5N07KHV00,44000,,0VB5N07KHV0,"102.726518,25.043255;102.726449,25.043244;102.726082,25.043209;102.725563,25.043149","['0VB5N07KHV00VB6107KI000', '0VB5N07KHV00VB5N07KH000', '0VB5N07KHV00VB4N07KHR00', '0VB5N07KHV00VB5O07KJ400', '0VB5N07KHV00VB6D07KI100']",[]
0VB2T07KGQ00VB2N07KH200,47000,,0VB2N07KH20,"102.716459,25.039442;102.716345,25.040216;102.716313,25.040277;102.716272,25.040289;102.71596,25.040206","['0VB2N07KH200VB2Q07KGD00', '0VB2N07KH200VB2T07KGQ00', '0VB2N07KH200VB2D07KH000', '0VB2N07KH200VB2K07KHN00']",[]
0VB1A07KHK00VB1A07KH800,45000,0VB1A07KHK0,,"102.711361,25.041994;102.711378,25.041495;102.711388,25.041216;102.711402,25.040837",[],"['0VB0Q07KHI00VB1A07KHK00', '0VB1B07KHH00VB1A07KHK00', '0VB1A07KH800VB1A07KHK00']"
0VB7407KJC00VB7H07KJL00,44000,0VB7407KJC0,,"102.73021,25.047602;102.730798,25.048009;102.731042,25.048193;102.731434,25.048469",[],"['0VB6T07KJ600VB7407KJC00', '0VB6B07KK400VB7407KJC00', '0VB7B07KJ800VB7407KJC00', '0VB8T07KKJ00VB7407KJC00']"
0VB2A07KK200VB2J07KK300,45000,0VB2A07KK20,,"102.714742,25.049952;102.715518,25.049909",[],"['0VB2C07KJM10VB2A07KK200', '0VB2D07KKN00VB2A07KK200', '0VB3P07KJU00VB2A07KK200', '0VB2J07KK300VB2A07KK200', '0VB1M07KK400VB2A07KK200']"
0VB3P07KI700VB3R07KHP00,44000,,0VB3R07KHP0,"102.719433,25.043853;102.71946,25.042986;102.719461,25.042574","['0VB3R07KHP00VB3S07KI600', '0VB3R07KHP00VB3B07KHP00', '0VB3R07KHP00VB4R07KHQ00', '0VB3R07KHP00VB3T07KGD00']",[]
0VB4J07KGD00VB4V07KGD00,44000,,0VB4V07KGD0,"102.721925,25.03811;102.722428,25.038125;102.723096,25.038144","['0VB4V07KGD00VB5N07KGE00', '0VB4V07KGD00VB4V07KFS00']",[]
0VB8H07KGF00VB8F07KFI10,44000,0VB8H07KGF0,,"102.734388,25.038296;102.734393,25.038108;102.734391,25.037902;102.73441,25.037359;102.734419,25.036888;102.734421,25.036858;102.734418,25.036828;102.734425,25.03575;102.734418,25.035405",[],"['0VB8H07KG600VB8H07KGF00', '0VB8207KGF00VB8H07KGF00', '0VB8607KHG00VB8H07KGF00', '0VB9N07KGH00VB8H07KGF00']"
0VB3T07KGD00VB4V07KGD00,44000,0VB3T07KGD0,0VB4V07KGD0,"102.719811,25.038066;102.719907,25.038068;102.720173,25.038074;102.720271,25.038076;102.720467,25.038081;102.720659,25.038085;102.721925,25.03811;102.722428,25.038125;102.723096,25.038144","['0VB4V07KGD00VB5N07KGE00', '0VB4V07KGD00VB4V07KFS00']","['0VB3K07KGD00VB3T07KGD00', '0VB3N07KGD00VB3T07KGD00', '0VB3R07KHP00VB3T07KGD00', '0VB4J07KGE00VB3T07KGD00', '0VB3V07KFJ00VB3T07KGD00']"
0VB4S07KEV00VB5G07KEV00,44000,0VB4S07KEV0,,"102.722803,25.033528;102.722989,25.033526;102.723261,25.033525;102.724767,25.033542",[],"['0VB4S07KET00VB4S07KEV00', '0VB3V07KF000VB4S07KEV00', '0VB4607KF000VB4S07KEV00']"
0VB3P07KKM00VB3T07KKM00,45000,0VB3P07KKM0,,"102.719478,25.051758;102.719717,25.05176;102.719734,25.05176",[],"['0VB3P07KKU00VB3P07KKM00', '0VB3P07KJU00VB3P07KKM00', '0VB3T07KKM00VB3P07KKM00']"
0VB5707KJ400VB5O07KJ400,45000,,0VB5O07KJ40,"102.723916,25.046818;102.724019,25.046793;102.724105,25.046793;102.72413,25.046792;102.724137,25.046792;102.724493,25.046788;102.724736,25.046792;102.725276,25.046799;102.725535,25.0468","['0VB5O07KJ400VB5707KJ400', '0VB5O07KJ400VB5N07KHV00', '0VB5O07KJ400VB6T07KJ600', '0VB5O07KJ400VB6B07KK400']",[]
0VB4R07KHQ00VB5N07KHV00,44000,0VB4R07KHQ0,0VB5N07KHV0,"102.722698,25.042637;102.722926,25.042665;102.723549,25.042755;102.723702,25.04278;102.723772,25.042792;102.724505,25.0429;102.724702,25.042929;102.724763,25.042938;102.725496,25.043041","['0VB5N07KHV00VB6107KI000', '0VB5N07KHV00VB5N07KH000', '0VB5N07KHV00VB4N07KHR00', '0VB5N07KHV00VB5O07KJ400', '0VB5N07KHV00VB6D07KI100']","['0VB5307KH200VB4R07KHQ00', '0VB3R07KHP00VB4R07KHQ00']"
0VAVC07KG700VAUD07KH200,44000,0VAVC07KG70,,"102.705205,25.037576;102.705001,25.037675;102.704943,25.037703;102.704759,25.037789;102.704751,25.037794;102.704613,25.037871;102.704477,25.037947;102.70436,25.038026;102.703633,25.038696;102.703262,25.039056;102.703013,25.039298;102.702764,25.039538;102.70248,25.039811;102.702068,25.04021",[],"['0VAU407KH900VAVC07KG700', '0VB2Q07KGD00VAVC07KG700', '0VAV807KG200VAVC07KG700', '0VAVE07KGI00VAVC07KG700', '0VAV507KG100VAVC07KG700']"
0VB2Q07KGD00VB2N07KH200,44000,0VB2Q07KGD0,0VB2N07KH20,"102.716248,25.038105;102.716146,25.038849;102.716084,25.039301;102.71596,25.040206","['0VB2N07KH200VB2Q07KGD00', '0VB2N07KH200VB2T07KGQ00', '0VB2N07KH200VB2D07KH000', '0VB2N07KH200VB2K07KHN00']","['0VB2N07KH200VB2Q07KGD00', '0VB2T07KFO00VB2Q07KGD00', '0VB3N07KGD00VB2Q07KGD00', '0VB3K07KGD00VB2Q07KGD00', '0VB2D07KGC00VB2Q07KGD00']"
0VB3V07KFJ00VB3T07KGD00,44000,,0VB3T07KGD0,"102.719905,25.035485;102.719878,25.036353;102.719852,25.037219;102.719823,25.037774;102.719817,25.037895;102.719811,25.038066","['0VB3T07KGD00VB3V07KF000', '0VB3T07KGD00VB3T07KGU00', '0VB3T07KGD00VB3K07KGD00', '0VB3T07KGD00VB4J07KGD00', '0VB3T07KGD00VB4V07KGD00', '0VB3T07KGD00VB3T07KGT00', '0VB3T07KGD00VB3N07KGD00']",[]
0VBA707KGG00VBA007KGG00,45000,,0VBA007KGG0,"102.739895,25.038435;102.739706,25.038363;102.739545,25.038366;102.739303,25.038397;102.739213,25.038406","['0VBA007KGG00VB9907KI600', '0VBA007KGG00VB9N07KGH00', '0VBA007KGG00VBA707KGG00']",[]
0VB2007KHM00VB1A07KHL00,44000,,0VB1A07KHL0,"102.713589,25.042239;102.712718,25.042177;102.712374,25.042156;102.712064,25.042137;102.711469,25.042095;102.711354,25.042085","['0VB1A07KHL00VB1A07KHN00', '0VB1A07KHL00VB0Q07KHI00']",[]
0VB6H07KI100VB6H07KI600,45000,0VB6H07KI10,,"102.72813,25.043449;102.728123,25.043804",[],"['0VB7307KI500VB6H07KI100', '0VB6H07KI600VB6H07KI100', '0VB6D07KI100VB6H07KI100']"
0VB4R07KHQ00VB5307KH200,45000,0VB4R07KHQ0,,"102.722698,25.042637;102.722715,25.042133;102.722718,25.041812;102.722713,25.041537;102.72271,25.041334;102.722728,25.041294;102.722764,25.041276;102.723361,25.041287;102.723395,25.041286;102.723428,25.041277;102.723455,25.041261;102.723472,25.041245;102.723481,25.041233;102.723493,25.041215;102.7235,25.041191;102.723507,25.041161;102.723512,25.040965;102.723517,25.040794;102.723518,25.040686;102.723521,25.040508;102.72352,25.040455;102.723517,25.040248",[],"['0VB5307KH200VB4R07KHQ00', '0VB3R07KHP00VB4R07KHQ00']"
0VBAB07KJ600VBAD07KIN00,45000,0VBAB07KJ60,,"102.740449,25.047015;102.74045,25.046058;102.740481,25.045464",[],"['0VBA807KJS00VBAB07KJ600', '0VB9F07KJ600VBAB07KJ600', '0VBAD07KIN00VBAB07KJ600', '0VBB107KJ600VBAB07KJ600']"
0VB5O07KG200VB5N07KGE00,44000,,0VB5N07KGE0,"102.725602,25.037041;102.7256,25.037683;102.725604,25.038161","['0VB5N07KGE00VB5N07KHV00', '0VB5N07KGE00VB5307KGE00', '0VB5N07KGE00VB5N07KFT00', '0VB5N07KGE00VB6507KGE00']",[]
0VB4507KD800VB4507KD600,44000,0VB4507KD80,,"102.72043,25.028056;102.720443,25.027925;102.720444,25.027914;102.720456,25.027786",[],"['0VB4607KD800VB4507KD800', '0VB3V07KF000VB4507KD800', '0VB4507KD600VB4507KD800']"
0VB3P07KJU00VB4K07KJT00,44000,0VB3P07KJU0,,"102.719508,25.049433;102.719656,25.049406;102.719734,25.049394;102.720003,25.049383;102.720106,25.049379;102.720532,25.049362;102.720544,25.049362;102.72134,25.049342;102.721586,25.049336;102.721944,25.049326;102.721963,25.049326",[],"['0VB2A07KK200VB3P07KJU00', '0VB4507KJU00VB3P07KJU00', '0VB4507KJU00VB3P07KJU01', '0VB2A07KK300VB3P07KJU00', '0VB3R07KIT00VB3P07KJU00', '0VB3L07KJU00VB3P07KJU00', '0VB3P07KKH00VB3P07KJU00']"
0VB3407KHP00VB2K07KHN00,44000,,0VB2K07KHN0,"102.717212,25.042493;102.716928,25.042478;102.716803,25.04247;102.716775,25.042467;102.716553,25.042448;102.716043,25.042409;102.715673,25.04238","['0VB2K07KHN00VB2L07KHE00', '0VB2K07KHN00VB2K07KHU00', '0VB2K07KHN00VB3R07KHP00', '0VB2K07KHN00VB2007KHM00']",[]
0VB9S07KI600VBAB07KI700,44000,,0VBAB07KI70,"102.738823,25.043828;102.739106,25.043831;102.739115,25.043831;102.740264,25.043837;102.740284,25.043837","['0VBAB07KI700VBB207KHU00', '0VBAB07KI700VBAB07KI400', '0VBAB07KI700VBAD07KIJ00', '0VBAB07KI700VB9U07KI700', '0VBAB07KI700VBAD07KIN00']",[]
0VB5N07KHV00VB4N07KHR00,44000,0VB5N07KHV0,0VB4N07KHR0,"102.725497,25.043144;102.725426,25.043133;102.725223,25.0431;102.725123,25.043085;102.724802,25.043035;102.724751,25.043029;102.723752,25.04289;102.722925,25.04279;102.722675,25.042757;102.722384,25.04272;102.72237,25.042718","['0VB4N07KHR00VB4L07KHR00', '0VB4N07KHR00VB4K07KHR00']","['0VB5307KHS00VB5N07KHV00', '0VB5N07KGE00VB5N07KHV00', '0VB6E07KI100VB5N07KHV00', '0VB5O07KJ400VB5N07KHV00', '0VB6107KI000VB5N07KHV00', '0VB4R07KHQ00VB5N07KHV00', '0VB6D07KI110VB5N07KHV00']"
0VBAD07KIN00VBAB07KI700,45000,,0VBAB07KI70,"102.740493,25.045458;102.740497,25.045219;102.740498,25.04512;102.740511,25.044656;102.740497,25.044317;102.740489,25.043924","['0VBAB07KI700VBB207KHU00', '0VBAB07KI700VBAB07KI400', '0VBAB07KI700VBAD07KIJ00', '0VBAB07KI700VB9U07KI700', '0VBAB07KI700VBAD07KIN00']",[]
0VB2D07KJE00VB2D07KJ900,44000,0VB2D07KJE0,,"102.714864,25.047932;102.71494,25.047253",[],"['0VB2A07KK300VB2D07KJE00', '0VB2A07KK200VB2D07KJE00', '0VB2G07KIT00VB2D07KJE00', '0VB2A07KJE00VB2D07KJE00']"
0VB5O07KJ400VB6B07KK400,44000,0VB5O07KJ40,0VB6B07KK40,"102.725609,25.046893;102.725628,25.047562;102.725633,25.047885;102.725636,25.048048;102.725645,25.048183;102.725658,25.04828;102.725672,25.048354;102.725687,25.048404;102.725735,25.048505;102.725761,25.048551;102.725823,25.048648;102.725867,25.048708;102.725918,25.048767;102.725999,25.048848;102.726019,25.048869;102.726665,25.049373;102.727167,25.049759;102.727202,25.049785;102.727231,25.049805;102.727457,25.049935","['0VB6B07KK400VB5O07KJF00', '0VB6B07KK400VB7407KJC00', '0VB6B07KK400VB5L07KKN00', '0VB6B07KK400VB7E07KL300', '0VB6B07KK400VB6207KKC00']","['0VB5O07KJF00VB5O07KJ400', '0VB5707KJ400VB5O07KJ400', '0VB5N07KHV00VB5O07KJ400', '0VB7407KJC00VB5O07KJ400']"
0VAV507KG100VAVC07KG700,45000,,0VAVC07KG70,"102.704506,25.03686;102.704573,25.036883;102.704631,25.03692;102.704771,25.03702;102.704827,25.037062;102.704953,25.037172;102.705218,25.037429","['0VAVC07KG700VAV507KG100', '0VAVC07KG700VAUD07KH200', '0VAVC07KG700VAVE07KGI00', '0VAVC07KG700VB2D07KGC00']",[]
0VB5N07KHV00VB5O07KJ400,44000,0VB5N07KHV0,0VB5O07KJ40,"102.725563,25.043149;102.725562,25.043197;102.725575,25.043663;102.725577,25.043734;102.725582,25.044065;102.725586,25.044659;102.725589,25.045051;102.72559,25.045247;102.725598,25.046286;102.725601,25.04647;102.725607,25.046795","['0VB5O07KJ400VB5707KJ400', '0VB5O07KJ400VB5N07KHV00', '0VB5O07KJ400VB6T07KJ600', '0VB5O07KJ400VB6B07KK400']","['0VB5307KHS00VB5N07KHV00', '0VB5N07KGE00VB5N07KHV00', '0VB6E07KI100VB5N07KHV00', '0VB5O07KJ400VB5N07KHV00', '0VB6107KI000VB5N07KHV00', '0VB4R07KHQ00VB5N07KHV00', '0VB6D07KI110VB5N07KHV00']"
0VB7407KJC00VB6B07KK400,44000,0VB7407KJC0,0VB6B07KK40,"102.730123,25.047684;102.729826,25.047951;102.729399,25.048332;102.728872,25.048794;102.728795,25.048863;102.728661,25.048982;102.728328,25.049276;102.728022,25.04956;102.727536,25.049978","['0VB6B07KK400VB5O07KJF00', '0VB6B07KK400VB7407KJC00', '0VB6B07KK400VB5L07KKN00', '0VB6B07KK400VB7E07KL300', '0VB6B07KK400VB6207KKC00']","['0VB6T07KJ600VB7407KJC00', '0VB6B07KK400VB7407KJC00', '0VB7B07KJ800VB7407KJC00', '0VB8T07KKJ00VB7407KJC00']"
0VB4507KD600VB4507KD800,44000,,0VB4507KD80,"102.720549,25.027795;102.720536,25.027921;102.720535,25.027932;102.720522,25.028064","['0VB4507KD800VB4407KDN00', '0VB4507KD800VB4507KDD00', '0VB4507KD800VB4607KD800', '0VB4507KD800VB4507KD600']",[]
0VB4Q07KGG00VB4Q07KGE00,47000,,0VB4Q07KGE0,"102.722597,25.038366;102.722599,25.038327;102.722562,25.03823","['0VB4Q07KGE00VB4P07KGF00', '0VB4Q07KGE00VB4Q07KGG00', '0VB4Q07KGE00VB4J07KGE00']",[]
0VB3K07KGD00VB2Q07KGD00,44000,,0VB2Q07KGD0,"102.718848,25.038141;102.718841,25.03814;102.718285,25.038133;102.717611,25.038123;102.717134,25.038117;102.716807,25.038115;102.716788,25.038115;102.716638,25.038115;102.716593,25.038114;102.716248,25.038105","['0VB2Q07KGD00VAVC07KG700', '0VB2Q07KGD00VB3107KG110', '0VB2Q07KGD00VB3N07KGD00', '0VB2Q07KGD00VB2R07KFU00', '0VB2Q07KGD00VB3K07KGD00', '0VB2Q07KGD00VB2N07KH200']",[]
0VB4U07KK000VB4Q07KJU00,44000,,0VB4Q07KJU0,"102.722985,25.049639;102.72289,25.049582;102.72277,25.049525;102.72265,25.049481;102.72255,25.049452","['0VB4Q07KJU00VB4S07KJS00', '0VB4Q07KJU00VB4U07KK000', '0VB4Q07KJU00VB4507KJU00', '0VB4Q07KJU00VB4U07KK001']",[]
0VB9F07KJ600VBAB07KJ600,45000,,0VBAB07KJ60,"102.73751,25.047003;102.738462,25.046998;102.738853,25.046997;102.739183,25.046996;102.739453,25.047002;102.739628,25.047001;102.739748,25.047;102.739999,25.046999;102.740449,25.047015","['0VBAB07KJ600VBB107KJ600', '0VBAB07KJ600VB9F07KJ600', '0VBAB07KJ600VBA807KJS00', '0VBAB07KJ600VBAD07KIN00']",[]
0VB7407KGF00VB7207KGG00,45000,0VB7407KGF0,,"102.729834,25.038336;102.729833,25.038449",[],"['0VB7H07KGG00VB7407KGF00', '0VB6J07KGE00VB7407KGF00', '0VB6E07KGE00VB7407KGF00', '0VB7607KGD00VB7407KGF00', '0VB7207KGG00VB7407KGF00']"
0VB6D07KI110VB5N07KHV00,44000,,0VB5N07KHV0,"102.727719,25.043395;102.7276,25.043381;102.727177,25.043331;102.726787,25.043284;102.726518,25.043255;102.726149,25.043216;102.726082,25.043209;102.725563,25.043149","['0VB5N07KHV00VB6107KI000', '0VB5N07KHV00VB5N07KH000', '0VB5N07KHV00VB4N07KHR00', '0VB5N07KHV00VB5O07KJ400', '0VB5N07KHV00VB6D07KI100']",[]
0VB1B07KHH00VB1A07KHK00,47000,,0VB1A07KHK0,"102.711546,25.041767;102.711498,25.041808;102.711361,25.041994","['0VB1A07KHK00VB1P07KHL00', '0VB1A07KHK00VB1B07KHH00', '0VB1A07KHK00VB1A07KH800']",[]
0VB6E07KGE00VB7407KGF00,44000,,0VB7407KGF0,"102.727818,25.038205;102.728286,25.038231;102.728399,25.038227;102.729252,25.038245;102.729833,25.038251","['0VB7407KGF00VB7407KGD00', '0VB7407KGF00VB6D07KGF00', '0VB7407KGF00VB7207KGG00', '0VB7407KGF00VB8207KGF00']",[]
0VB2D07KJE00VB2C07KJM10,44000,0VB2D07KJE0,,"102.714901,25.047933;102.714868,25.048217;102.714823,25.048602",[],"['0VB2A07KK300VB2D07KJE00', '0VB2A07KK200VB2D07KJE00', '0VB2G07KIT00VB2D07KJE00', '0VB2A07KJE00VB2D07KJE00']"
0VB2N07KH200VB2D07KH000,45000,0VB2N07KH20,,"102.715898,25.040138;102.715768,25.040109;102.715686,25.040103;102.714861,25.040048",[],"['0VB2L07KHE00VB2N07KH200', '0VB2D07KH000VB2N07KH200', '0VB2T07KGQ00VB2N07KH200', '0VB2Q07KGD00VB2N07KH200']"
0VB7B07KJ800VB7407KJC00,44000,,0VB7407KJC0,"102.730647,25.047189;102.73021,25.047602","['0VB7407KJC00VB7H07KIT00', '0VB7407KJC00VB7H07KJL00', '0VB7407KJC00VB6B07KK400', '0VB7407KJC00VB5O07KJ400']",[]
0VB7J07KI500VB7U07KI700,44000,,0VB7U07KI70,"102.731481,25.04373;102.731833,25.043763;102.732138,25.043796;102.732386,25.043816;102.732603,25.043822","['0VB7U07KI700VB9907KI600', '0VB7U07KI700VB7U07KI100', '0VB7U07KI700VB7807KI500', '0VB7U07KI700VB7F07KJ200', '0VB7U07KI700VB8607KHG00']",[]
0VB5N07KHV00VB6D07KI100,44000,0VB5N07KHV0,,"102.725559,25.043052;102.725636,25.043057;102.725846,25.043082;102.726097,25.043112;102.726243,25.043123;102.7268,25.043184;102.726881,25.043195;102.727721,25.043304",[],"['0VB5307KHS00VB5N07KHV00', '0VB5N07KGE00VB5N07KHV00', '0VB6E07KI100VB5N07KHV00', '0VB5O07KJ400VB5N07KHV00', '0VB6107KI000VB5N07KHV00', '0VB4R07KHQ00VB5N07KHV00', '0VB6D07KI110VB5N07KHV00']"
0VB4V07KFS00VB4V07KGD00,45000,,0VB4V07KGD0,"102.723117,25.036369;102.723113,25.03672;102.723101,25.037735;102.723096,25.038144","['0VB4V07KGD00VB5N07KGE00', '0VB4V07KGD00VB4V07KFS00']",[]
0VBAB07KI400VBAB07KI700,45000,,0VBAB07KI70,"102.740304,25.0436;102.740284,25.043837","['0VBAB07KI700VBB207KHU00', '0VBAB07KI700VBAB07KI400', '0VBAB07KI700VBAD07KIJ00', '0VBAB07KI700VB9U07KI700', '0VBAB07KI700VBAD07KIN00']",[]
0VB2D07KJE00VB2A07KJE00,45000,0VB2D07KJE0,,"102.714864,25.047932;102.714686,25.047921",[],"['0VB2A07KK300VB2D07KJE00', '0VB2A07KK200VB2D07KJE00', '0VB2G07KIT00VB2D07KJE00', '0VB2A07KJE00VB2D07KJE00']"
0VB6B07KK400VB7E07KL300,44000,0VB6B07KK40,,"102.727536,25.049978;102.727611,25.050026;102.727686,25.050079;102.727813,25.050181;102.727926,25.050282;102.728112,25.050445;102.728406,25.050704;102.72955,25.051777;102.72958,25.051804;102.729602,25.051824;102.72961,25.051831;102.729989,25.052177;102.730453,25.052606;102.730674,25.052817;102.730877,25.053006;102.730983,25.053102",[],"['0VB5L07KKN00VB6B07KK400', '0VB7E07KL300VB6B07KK400', '0VB5O07KJ400VB6B07KK400', '0VB7407KJC00VB6B07KK400']"
0VB7407KJC00VB5O07KJ400,44000,0VB7407KJC0,0VB5O07KJ40,"102.730032,25.047625;102.729725,25.047415;102.72947,25.047252;102.72946,25.047246;102.729295,25.047138;102.729206,25.047077;102.729139,25.047043;102.729064,25.047009;102.72896,25.046973;102.728748,25.046956;102.728353,25.04695;102.727233,25.046939;102.726608,25.046936;102.726382,25.046929;102.726238,25.046924;102.725835,25.046905;102.725609,25.046893","['0VB5O07KJ400VB5707KJ400', '0VB5O07KJ400VB5N07KHV00', '0VB5O07KJ400VB6T07KJ600', '0VB5O07KJ400VB6B07KK400']","['0VB6T07KJ600VB7407KJC00', '0VB6B07KK400VB7407KJC00', '0VB7B07KJ800VB7407KJC00', '0VB8T07KKJ00VB7407KJC00']"
0VB7U07KI700VB7U07KI100,47000,0VB7U07KI70,,"102.732603,25.043822;102.732574,25.0437;102.732694,25.043364",[],"['0VB8C07KI800VB7U07KI700', '0VB8H07KGF00VB7U07KI700', '0VB8C07KI800VB7U07KI701', '0VB7H07KIT00VB7U07KI700', '0VB7J07KI500VB7U07KI700']"
0VB7U07KI700VB7807KI500,44000,0VB7U07KI70,0VB7807KI50,"102.732532,25.043944;102.732428,25.043939;102.732358,25.043933;102.732287,25.043923;102.731723,25.04386;102.731501,25.043831;102.731458,25.043825;102.730962,25.043769;102.730434,25.043709;102.730407,25.043707",['0VB7807KI500VB7307KI500'],"['0VB8C07KI800VB7U07KI700', '0VB8H07KGF00VB7U07KI700', '0VB8C07KI800VB7U07KI701', '0VB7H07KIT00VB7U07KI700', '0VB7J07KI500VB7U07KI700']"
0VB6B07KK400VB6207KKC00,44000,0VB6B07KK40,,"102.727473,25.05004;102.726961,25.050517;102.726763,25.050684;102.726631,25.050795",[],"['0VB5L07KKN00VB6B07KK400', '0VB7E07KL300VB6B07KK400', '0VB5O07KJ400VB6B07KK400', '0VB7407KJC00VB6B07KK400']"
