rid,road_level,ori,des,lnglat_seq,parents,children
0VB4Q07KGE00VB4Q07KGG00,47000,0VB4Q07KGE0,,"102.722562,25.03823;102.722599,25.038327;102.722597,25.038366",[],"['0VB4P07KGF00VB4Q07KGE00', '0VB4Q07KGG00VB4Q07KGE00', '0VB5307KGE00VB4Q07KGE00']"
0VB4607KD800VB4507KD800,47000,,0VB4507KD80,"102.720738,25.028098;102.720522,25.028064","['0VB4507KD800VB4407KDN00', '0VB4507KD800VB4507KDD00', '0VB4507KD800VB4607KD800', '0VB4507KD800VB4507KD600']",[]
0VB2C07KJM10VB2A07KK200,44000,,0VB2A07KK20,"102.714823,25.048602;102.714699,25.049639;102.714697,25.049701;102.714709,25.049759","['0VB2A07KK200VB3P07KJU00', '0VB2A07KK200VB0P07KK700', '0VB2A07KK200VB2D07KJE00', '0VB2A07KK200VB2J07KK300', '0VB2A07KK200VB2C07KKD00']",[]
0VB2N07KH200VB2T07KGQ00,47000,0VB2N07KH20,,"102.71596,25.040206;102.716272,25.040289;102.716313,25.040277;102.716345,25.040216;102.716459,25.039442",[],"['0VB2L07KHE00VB2N07KH200', '0VB2D07KH000VB2N07KH200', '0VB2T07KGQ00VB2N07KH200', '0VB2Q07KGD00VB2N07KH200']"
0VB6H07KI100VB6D07KI110,44000,0VB6H07KI10,,"102.72813,25.043449;102.72775,25.043399",[],"['0VB7307KI500VB6H07KI100', '0VB6H07KI600VB6H07KI100', '0VB6D07KI100VB6H07KI100']"
0VBA807KJS00VBAB07KJ600,45000,,0VBAB07KJ60,"102.739954,25.049233;102.740027,25.049113;102.740214,25.048804;102.740278,25.048658;102.740352,25.048432;102.740403,25.048206;102.740449,25.047952;102.740443,25.047839;102.740451,25.047579;102.740449,25.047015","['0VBAB07KJ600VBB107KJ600', '0VBAB07KJ600VB9F07KJ600', '0VBAB07KJ600VBA807KJS00', '0VBAB07KJ600VBAD07KIN00']",[]
0VB4507KJU00VB3P07KJU00,44000,,0VB3P07KJU0,"102.72045,25.049423;102.719759,25.049446;102.719646,25.049461;102.719507,25.049484","['0VB3P07KJU00VB2A07KK300', '0VB3P07KJU00VB3P07KJ800', '0VB3P07KJU00VB3P07KKM00', '0VB3P07KJU00VB2A07KK200', '0VB3P07KJU00VB4K07KJT00']",[]
0VBAB07KJ600VBB107KJ600,45000,0VBAB07KJ60,,"102.740449,25.047015;102.740817,25.047019;102.741283,25.047016;102.742072,25.04701;102.742482,25.047028",[],"['0VBA807KJS00VBAB07KJ600', '0VB9F07KJ600VBAB07KJ600', '0VBAD07KIN00VBAB07KJ600', '0VBB107KJ600VBAB07KJ600']"
0VB2L07KHE00VB2N07KH200,44000,,0VB2N07KH20,"102.715727,25.041393;102.715792,25.04089;102.715849,25.040458;102.715884,25.040223;102.715898,25.040138","['0VB2N07KH200VB2Q07KGD00', '0VB2N07KH200VB2T07KGQ00', '0VB2N07KH200VB2D07KH000', '0VB2N07KH200VB2K07KHN00']",[]
0VB2D07KH000VB2N07KH200,45000,,0VB2N07KH20,"102.714861,25.040048;102.715686,25.040103;102.715768,25.040109;102.715898,25.040138","['0VB2N07KH200VB2Q07KGD00', '0VB2N07KH200VB2T07KGQ00', '0VB2N07KH200VB2D07KH000', '0VB2N07KH200VB2K07KHN00']",[]
